"","Cycle"
"1",1.76442206662213
"2",0.325073195547415
"3",-0.800410826548806
"4",-0.212463205767567
"5",0.205248071323721
"6",0.677041335259288
"7",0.151043193707021
"8",-0.674955771972928
"9",-2.63877918634393
"10",-3.32386520283011
"11",-2.66384934011381
"12",-3.69004042301687
"13",-0.460465579259035
"14",1.49735147287224
"15",3.76668071612489
"16",3.92946613518297
"17",3.48826793013706
"18",3.32621890600108
"19",3.37165456420752
"20",1.79202071050741
"21",1.22300831858751
"22",0.0453366821633589
"23",-0.423631576970914
"24",1.43518504202539
"25",1.7896168891934
"26",1.19044572680699
"27",-0.4469263262565
"28",-2.60619026136299
"29",-3.45731774023541
"30",-3.61693390481324
"31",-2.81613337893965
"32",-1.38842002504436
"33",0.578528473142282
"34",1.17360437627932
"35",1.38698619975144
"36",0.834704206923891
"37",-0.54352478288214
"38",-0.681183764988977
"39",-1.58973760815307
"40",-0.823157590973249
"41",-1.01215245697501
"42",-1.84411432111332
"43",-1.45289089621958
"44",-2.83879175658685
"45",-5.29525246761793
"46",-4.41652878488207
"47",-2.24657900671368
"48",-0.401878359261613
"49",0.771601046132256
"50",1.9661057591096
"51",1.00418167379646
"52",0.293867586914467
"53",1.29852051496463
"54",-0.317383006525292
"55",-0.764561855102615
"56",-2.59713589879372
"57",-2.31402734099625
"58",-1.13892499883582
"59",0.0807479338923559
"60",1.15980433679625
"61",1.88658775748829
"62",1.69734768260749
"63",1.7769349736049
"64",1.01398784464065
"65",0.994741242031364
"66",0.999512978492619
"67",1.91022371375799
"68",1.36256622684932
"69",2.13291627258011
"70",1.87333007436539
"71",2.03000427037363
"72",1.06060876879928
"73",2.03536682280818
"74",1.84060059403593
"75",2.48277343030369
"76",3.07017988044123
"77",3.62739672294233
"78",2.27438492756021
"79",1.56500597712844
"80",0.94517119415799
"81",0.479993163786118
"82",-0.582982095184876
"83",-0.657866895998671
"84",-0.840862458313457
"85",0.112923953064539
"86",0.594410164368825
"87",0.212441865677713
"88",-0.449574597408188
"89",-0.0193463916996306
"90",-0.744956760431037
"91",-1.03430351879609
"92",-2.24323434959644
"93",-2.90035044150879
"94",-3.12998422363582
"95",-2.59554515490099
"96",-3.82038570750625
"97",-1.5664589112871
"98",-1.55289319185478
"99",-1.29227041120139
"100",-1.59102611042749
"101",-0.507805046003976
"102",0.70877711638087
"103",0.544264151052
"104",1.00186300122133
"105",1.99873531121724
"106",1.59110731896583
"107",-0.146912840021635
"108",-0.309099145358695
"109",-2.0110776339016
"110",-2.39907751671135
"111",-3.65581762839234
"112",-4.10295183559459
"113",-5.08912483587421
"114",-4.12278987680501
"115",-2.38845754070067
"116",-1.23163530725723
"117",0.487569230518454
"118",0.587969472261827
"119",0.461138251147865
"120",0.435253617883252
"121",0.755662881449675
"122",1.60379350694682
"123",2.15100395672376
"124",1.04812156477082
"125",0.425731312501161
"126",2.88498538345286
"127",2.4764954845365
"128",2.41735270344634
"129",1.35003742947905
"130",0.404165778047242
"131",0.181783174772286
"132",-0.401531951349047
"133",-0.795369159077766
"134",-3.14264340260026
"135",-3.30706590799759
"136",-1.67703965502083
"137",-0.22392788438723
"138",-1.32701037537856
"139",-0.54943325809431
"140",-1.90361631111935
"141",-3.41045394619988
"142",-2.88358361572368
"143",-3.14859319423976
"144",-2.94751311326532
"145",-1.62104085710603
"146",0.337281236646007
"147",1.70055353140443
"148",2.83367456791559
"149",3.56338448818925
"150",3.85913236010654
"151",3.32095216045774
"152",2.67239452906865
"153",2.1903582905691
"154",1.66686067153755
"155",1.78850823448994
"156",1.23594558647325
"157",0.966790480972853
"158",0.356224383869439
"159",0.313379166947906
"160",-0.0608361176895148
"161",-0.171582628861409
"162",0.0478109998390986
"163",0.0739899813809953
"164",0.832325386901986
"165",0.434264904187282
"166",0.790251504332624
"167",0.454959261358821
"168",0.815729217479578
"169",0.837115597202106
"170",0.634923237448218
"171",0.44705409206014
"172",-0.168103635503271
"173",0.0991152980797584
"174",-0.306181339398777
"175",-0.889924648651905
"176",-2.19791319936843
"177",-2.84594398248439
"178",-2.26921056006789
"179",-1.98674509570061
"180",-1.85735425144605
"181",-1.01531676732743
"182",-0.436702245595849
"183",-0.0756537448766216
"184",0.218187623921937
"185",-0.353578239820878
"186",-0.509787280799492
"187",-0.749557024841207
"188",-0.18752462475872
"189",-0.0491493329002181
"190",0.403064576939552
"191",0.136416716772592
"192",0.405867985803854
"193",-0.0493948495063204
"194",-0.464562917654836
"195",-0.323170927175746
"196",-0.340865698408579
"197",-0.269064286188542
"198",0.58657827584946
"199",0.638188838477305
"200",0.793213938327031
"201",0.571605398585338
"202",1.2330072434944
"203",1.39675983383352
"204",1.17219741014435
"205",1.10616820539265
"206",0.972439497207571
"207",1.13789186819733
"208",1.56980634849404
"209",1.34913800472958
"210",1.07047630691469
"211",1.25736680289247
"212",1.66676096592171
"213",0.907782041940771
"214",1.51303477152807
"215",0.533164869754031
"216",0.151229163111163
"217",-0.953660372869378
"218",-1.02728388254574
"219",-1.94602921849271
"220",-2.08178676642372
"221",-1.66630679425406
"222",-1.48081533979955
"223",-1.47826381379415
"224",-1.69859798316093
"225",-1.52366692064852
"226",-1.08515762361139
"227",-0.0693060245939567
"228",0.317114010096567
"229",0.108349737808871
"230",0.088542118254524
"231",0.201196735911169
"232",0.329761372549942
"233",0.490602452076296
"234",0.083619193522122
"235",-0.00405554803568232
"236",-0.266899197919051
"237",0.194632387978547
"238",-0.350314729733238
"239",-0.882816150751589
"240",-0.694981754685964
"241",-1.00069269262829
"242",-0.959828830303196
"243",-0.932756556930398
"244",-0.847295960995482
"245",-1.66162009429225
"246",-1.42221941630282
"247",-2.16470382759857
"248",-4.17950561209374
"249",-4.84489969632088
"250",-4.48151467365272
"251",-3.64548807022599
"252",-2.26096311593773
"253",-1.58378178706847
"254",-0.604161011064009
"255",0.00579250035036269
"256",0.249597920809014
"257",-0.260588817693601
"258",0.0419986607694167
"259",-0.340213026814629
"260",0.322333221551755
"261",0.615348039838668
"262",0.51728332831141
"263",0.174881173095157
"264",-0.137504535114773
"265",0.348265695135578
"266",0.123561610165146
"267",0.442673565001607
"268",0.72698288392034
"269",-0.075622561918589
"270",0.674181126047535
"271",1.2230727869959
"272",1.05615054341801
"273",1.25360811346353
"274",1.16574333046934
"275",0.901336826263508
"276",0.498300008715348
"277",0.510253371694861
"278",0.312640299157462
"279",0.492537311098214
"280",0.527826758875887
"281",0.519163139815495
"282",0.572093730471393
"283",0.811608957275678
"284",1.29168036261492
"285",1.39746855765504
"286",1.223973391002
"287",1.13933187492636
"288",0.628617555901246
"289",0.527004301950521
"290",0.667009867126031
"291",1.01777022942488
"292",0.873884114890533
"293",-0.975953531079344
"294",-8.33224233494202
"295",-0.79825932483213
"296",-0.144927630944359
"297",0.667782631287329
"298",1.55969700553312
"299",1.62919923381795
"300",2.36779114621481
"301",1.019040637163
"302",0.156556157922733
"303",0.0682358194094649
"304",-0.0445129078333168
"305",-0.122093638041625
"306",-0.14841205960624
